nombre,institucion,servicio,app_id_android,resenas_1estrella_analizadas,resenas_1estrella_respondidas,pct_respondidas,tiempo_respuesta_promedio_dias,fecha_extraccion,error
Alfin Banco,Intercorp,Prepago,com.alfinbanco.appclientes,20,0,0.0,s/d,2026-08-24,
B89,Fintech,Prepago,io.b89.berlin,20,13,65.0,10.68,2026-08-24,
BanBif App,Banco,Banca movil,pe.com.banbif.pnappmobile,20,18,90.0,3.17,2026-08-24,
Banca Movil Banca GNB,Banco,Banca movil,com.bm_gnb_pe,20,0,0.0,s/d,2026-08-24,
Banca Móvil BCP,Banco,Banca movil,com.bcp.bank.bcp,20,7,35.0,0.01,2026-08-24,
Banco de Comercio BANCOM,Banco,Banca movil,pe.com.bancomercio.mobilebanking,20,0,0.0,s/d,2026-08-24,
Banco de la Nación,Banco,Banca movil,pe.com.bn.app.bancodelanacion,20,0,0.0,s/d,2026-08-24,
Banco Falabella Perú,Banco,Banca movil,per.bf.desa,20,0,0.0,s/d,2026-08-24,
Banco Pichincha Perú,Banco,Banca movil,pe.pichincha.bm,20,3,15.0,0.68,2026-08-24,
Banco Ripley Perú,Banco,Banca movil,com.ripley.banco.peru,20,1,5.0,s/d,2026-08-24,
BBVA Perú,Banco,Banca movil,com.bbva.nxt_peru,20,12,60.0,0.24,2026-08-24,
BIM,PDP S.A.,Billetera celular,com.pdp.bim,20,0,0.0,s/d,2026-08-24,
BIpay,Bitel,Billetera digital,com.bitel.bipay,20,16,80.0,0.55,2026-08-24,
Bonus,Retail (Loyalty Perú),Prepago,com.bonus.bonus,20,0,0.0,s/d,2026-08-24,
Caja Arequipa,Caja Municipal,Consulta de saldos y pagos,com.cmac.cajamovilaqp,20,19,95.0,6.08,2026-08-24,
Caja Cusco - Wayki App,Caja Municipal,Consulta de saldos y pagos,com.pe.cajacusco.movil,20,0,0.0,s/d,2026-08-24,
Caja Huancayo App,Caja Municipal,Consulta de saldos y pagos,com.cajahuancayo.cajahuancayo.appcajahuancayo,20,0,0.0,s/d,2026-08-24,
Caja Ica App,Caja Municipal,Consulta de saldos y pagos,com.cmacica.prd,20,0,0.0,s/d,2026-08-24,
Caja Piura App,Caja Municipal,Consulta de saldos y pagos,pe.cajapiura.bancamovil,20,0,0.0,s/d,2026-08-24,
Caja Tacna App,Caja Municipal,Consulta de saldos y pagos,com.cajatacna.droid,20,13,65.0,79.92,2026-08-24,
Caja Trujillo,Caja Municipal,Consulta de saldos y pagos,com.appcajatrujillo,20,0,0.0,s/d,2026-08-24,
Banco Compartamos,Banco,Consulta de saldos y pagos,pe.com.compartamos.bancamovil,20,20,100.0,3.07,2026-08-24,
Coopac Abaco,Cooperativa,Consulta de saldos y pagos,com.abaco.movil,5,0,0.0,s/d,2026-08-24,
Coopac San Cristobal de Huamanga,Cooperativa,Consulta de saldos y pagos,org.cacsch.saldomatico,20,0,0.0,s/d,2026-08-24,
Coopac San Isidro,Cooperativa,Consulta de saldos y pagos,pe.coopac.huaral.app_banking,2,0,0.0,s/d,2026-08-24,
Coopac San Miguel,Cooperativa,Consulta de saldos y pagos,pe.com.bankingly.Pe_SanMiguel,1,0,0.0,s/d,2026-08-24,
Coopac Santa Maria Movil,Cooperativa,Consulta de saldos y pagos,pe.com.coopsantamariaenlinea.coopemovilsmm,10,6,60.0,0.08,2026-08-24,
Santander Consumer Perú,"Financiera (Grupo Santander, ex CrediScotia)",Consulta de saldos y pagos,pe.com.scotiabank.blpm.android.client.csf,20,0,0.0,s/d,2026-08-24,
Cuenta DNI Perú (Banco de la Nación),Banco de la Nación,Consulta de saldos,com.bnp.banking,7,0,0.0,s/d,2026-08-24,
Diners Club Perú,Tarjeta de Crédito,App tarjeta de crédito,pe.solera.diners,20,0,0.0,s/d,2026-08-24,
Financiera Confianza,Financiera,Consulta de saldos y pagos,pe.confianza.cliente,20,0,0.0,s/d,2026-08-24,
Efectibank,Financiera,Billetera Digital,com.efectivadigital.appclientes,20,20,100.0,1.14,2026-08-24,
Global66,Fintech chilena (Global 81),Multi-moneda,com.global66.cards,20,17,85.0,1.87,2026-08-24,
Inspira te Ilumina,Educación financiera (Sof.ia),App educativa,com.sofia.inspira,3,0,0.0,s/d,2026-08-24,
Interbank App,Banco,Banca movil,pe.com.interbank.mobilebanking,20,0,0.0,s/d,2026-08-24,
io,Banco (marca digital BCP),Banca movil,pe.io,20,10,50.0,5.4,2026-08-24,
Jet Cash,EEDE Jet Perú,Remesas de dinero,com.mobilcash.jetperuandroid,19,13,68.42,287.54,2026-08-24,
Kontigo,EEDE Gmoney,Prepago,pe.com.kontigo.neobank,20,3,15.0,12.93,2026-08-24,
Ligo,EEDE TPP (Tarjetas Peruanas Prepago),Prepago,pe.com.tarjetasperuanasprepago.tppapp,20,20,100.0,0.42,2026-08-24,
Mibanco,Banco,Banca movil,com.mibanco.bancamovil,20,0,0.0,s/d,2026-08-24,
Máximo Tarjeta,Fintech (Alfin Banco),Prepago,maximo.peru.pe,20,5,25.0,20.14,2026-08-24,
P51,Caja Arequipa,Wallet,com.cajaarq.p51,20,0,0.0,s/d,2026-08-24,
Pacinet Móvil,Cooperativa,Consulta de saldos y pagos,com.pacinetmobile,3,0,0.0,s/d,2026-08-24,
Prex Perú,Fintech,Prepago,air.PrexPeru,20,0,0.0,s/d,2026-08-24,
Qapaq,Financiera,Consulta de saldos y pagos,com.qapaq.banking,20,0,0.0,s/d,2026-08-24,
Scotiabank Perú App,Banco,Banca movil,pe.com.scotiabank.blpm.android.client,20,0,0.0,s/d,2026-08-24,
Sip,Infinance XP (grupo Intercorp),"Billetera digital (cuentas, tarjetas, ahorros, cashback)",pe.solera.tarjetaoh,20,19,95.0,0.62,2026-08-24,
Tarjeta W,Grupo Wong,Pagos QR y Transferencias,pe.com.tarjetaw.android.client.prod,20,0,0.0,s/d,2026-08-24,
Tulkit,Fintech,Consulta de saldos y pagos,com.tulkitpay.crypto,20,6,30.0,10.67,2026-08-24,
Yape,BCP,Pagos por celular P2P,com.bcp.innovacxion.yapeapp,20,4,20.0,0.34,2026-08-24,
Panda,GMoney S.A.,Billetera digital multimoneda,pe.com.panda.neobank,20,0,0.0,s/d,2026-08-24,
Lemon: Billetera Virtual,Lemon Cash Inc.,Cripto-billetera,com.applemoncash,20,1,5.0,s/d,2026-08-24,
Coopac Norandino WalletOn,Coopac Norandino / FENACREP,Billetera digital cooperativa,com.wdt.banking.norandino,5,0,0.0,s/d,2026-08-24,
