nombre,institucion,servicio,app_id_android,rating,num_resenas,instalaciones,fecha_extraccion,error
Agora,Intercorp,Prepago,pe.indigital.tunki.user,2.632251,27564,5.000.000+,2026-08-23,
Alfin Banco,Intercorp,Prepago,com.alfinbanco.appclientes,2.6,264,100.000+,2026-08-23,
Aqku Wallet,Cripto,Fintech,com.aqu.wallet,s/d,s/d,s/d,2026-08-23,app no encontrada (retirada de la tienda o app_id incorrecto)
B89,Fintech,Prepago,io.b89.berlin,s/d,s/d,s/d,2026-08-23,app no encontrada (retirada de la tienda o app_id incorrecto)
BanBif App,Banco,Banca movil,pe.com.banbif.pnappmobile,3.91,988,100.000+,2026-08-23,
Banca Movil Banca GNB,Banco,Banca movil,com.bm_gnb_pe,3.14,496,50.000+,2026-08-23,
Banca Móvil BCP,Banco,Banca movil,com.bcp.bank.bcp,4.629814,757159,10.000.000+,2026-08-23,
Banco de Comercio BANCOM,Banco,Banca movil,pe.com.bancomercio.mobilebanking,2.697479,550,100.000+,2026-08-23,
Banco de la Nación,Banco,Banca movil,pe.com.bn.app.bancodelanacion,3.3260942,59037,10.000.000+,2026-08-23,
Banco Falabella Perú,Banco,Banca movil,per.bf.desa,2.1831381,21476,1.000.000+,2026-08-23,
Banco Pichincha Perú,Banco,Banca movil,pe.pichincha.bm,3.4564643,3892,500.000+,2026-08-23,
Banco Ripley Perú,Banco,Banca movil,com.ripley.banco.peru,3.5417142,17762,1.000.000+,2026-08-23,
Banex Coin,Fintech (exchange cripto),Exchange cripto,com.banexcoin.app.mobile,s/d,s/d,s/d,2026-08-23,app no encontrada (retirada de la tienda o app_id incorrecto)
BBVA Perú,Banco,Banca movil,com.bbva.nxt_peru,4.2417274,537420,10.000.000+,2026-08-23,
BIM,PDP S.A.,Billetera celular,com.pdp.bim,3.251402,10856,1.000.000+,2026-08-23,
BIpay,Bitel,Billetera digital,com.bitel.bipay,2.651289,7386,1.000.000+,2026-08-23,
Bonus,Retail (Loyalty Perú),Prepago,com.bonus.bonus,1.840708,1136,100.000+,2026-08-23,
Caja Arequipa,Caja Municipal,Consulta de saldos y pagos,com.cmac.cajamovilaqp,4.846322,27481,1.000.000+,2026-08-23,
Caja Cusco - Wayki App,Caja Municipal,Consulta de saldos y pagos,com.pe.cajacusco.movil,3.1058202,1920,1.000.000+,2026-08-23,
Caja Huancayo App,Caja Municipal,Consulta de saldos y pagos,com.cajahuancayo.cajahuancayo.appcajahuancayo,3.0226667,15132,1.000.000+,2026-08-23,
Caja Ica App,Caja Municipal,Consulta de saldos y pagos,com.cmacica.prd,3.08,778,100.000+,2026-08-23,
Caja Piura App,Caja Municipal,Consulta de saldos y pagos,pe.cajapiura.bancamovil,3.8745453,5509,1.000.000+,2026-08-23,
Caja Tacna App,Caja Municipal,Consulta de saldos y pagos,com.cajatacna.droid,3.49,200,50.000+,2026-08-23,
Caja Trujillo,Caja Municipal,Consulta de saldos y pagos,com.appcajatrujillo,2.3515625,1299,500.000+,2026-08-23,
Banco Compartamos,Banco,Consulta de saldos y pagos,pe.com.compartamos.bancamovil,3.3945312,2706,1.000.000+,2026-08-23,
Coopac Abaco,Cooperativa,Consulta de saldos y pagos,com.abaco.movil,4.5,53,5.000+,2026-08-23,
Coopac San Cristobal de Huamanga,Cooperativa,Consulta de saldos y pagos,org.cacsch.saldomatico,3.4148936,95,10.000+,2026-08-23,
Coopac San Isidro,Cooperativa,Consulta de saldos y pagos,pe.coopac.huaral.app_banking,4.28,27,5.000+,2026-08-23,
Coopac San Miguel,Cooperativa,Consulta de saldos y pagos,pe.com.bankingly.Pe_SanMiguel,s/d,s/d,500+,2026-08-23,
Coopac Santa Maria Movil,Cooperativa,Consulta de saldos y pagos,pe.com.coopsantamariaenlinea.coopemovilsmm,4.730769,149,10.000+,2026-08-23,
Credinka,Financiera,Consulta de saldos y pagos,com.credinkamovil.pe,s/d,s/d,s/d,2026-08-23,app no encontrada (retirada de la tienda o app_id incorrecto)
CrediScotia,Financiera,Consulta de saldos y pagos,pe.com.scotiabank.blpm.android.client.csf,2.76,982,500.000+,2026-08-23,
Cuenta DNI Perú (Banco de la Nación),Banco de la Nación,Consulta de saldos,com.bnp.banking,3.09375,32,10.000+,2026-08-23,
Diners Club Perú,Tarjeta de Crédito,App tarjeta de crédito,pe.solera.diners,4.804755,14138,500.000+,2026-08-23,
Financiera Confianza,Financiera,Consulta de saldos y pagos,pe.confianza.cliente,2.71,316,100.000+,2026-08-23,
Efectibank,Financiera,Billetera Digital,com.efectivadigital.appclientes,3.059406,790,500.000+,2026-08-23,
FPay Perú,Grupo Falabella,Pago sin contacto desde el celular,com.fif.fpay.android.pe,s/d,s/d,s/d,2026-08-23,app no encontrada (retirada de la tienda o app_id incorrecto)
Global66,Fintech chilena (Global 81),Multi-moneda,com.global66.cards,4.794425,76842,1.000.000+,2026-08-23,
Google Wallet Perú,Google,Pago sin contacto,com.google.android.apps.walletnfcrel,4.283237,2223299,1.000.000.000+,2026-08-23,
