nombre,institucion,servicio,app_id_android,rating,num_resenas,instalaciones,instalaciones_reales,categoria,desarrollador,version,es_gratis,fecha_lanzamiento,fecha_actualizacion,fecha_extraccion,error
Alfin Banco,Intercorp,Prepago,com.alfinbanco.appclientes,2.6,264,100.000+,200273,Finanzas,Alfin Banco,2.9.3,True,31 ene 2022,2026-08-06,2026-09-01,
B89,Fintech,Prepago,io.b89.berlin,s/d,s/d,s/d,s/d,s/d,s/d,s/d,s/d,s/d,s/d,2026-09-01,app no encontrada (retirada de la tienda o app_id incorrecto)
BanBif App,Banco,Banca movil,pe.com.banbif.pnappmobile,3.854369,986,100.000+,221176,Finanzas,Banco Interamericano de Finanzas,Varies with device,True,10 oct 2025,s/d,2026-09-01,
Banca Movil Banca GNB,Banco,Banca movil,com.bm_gnb_pe,3.34,510,50.000+,97685,Finanzas,Banco GNB - Perú,1.8.29,True,28 sept 2018,2026-08-30,2026-09-01,
Banca Móvil BCP,Banco,Banca movil,com.bcp.bank.bcp,4.6336083,759534,10.000.000+,30942282,Finanzas,Banco de Crédito del Perú,5.14.0,True,17 ene 2014,2026-07-31,2026-09-01,
Banco de Comercio BANCOM,Banco,Banca movil,pe.com.bancomercio.mobilebanking,3.0873787,556,100.000+,108339,Finanzas,Bancom Perú,Varies with device,True,22 jun 2017,s/d,2026-09-01,
Banco de la Nación,Banco,Banca movil,pe.com.bn.app.bancodelanacion,3.3091557,59112,10.000.000+,10142573,Finanzas,Banco de la Nación,4.6.0,True,6 dic 2017,2025-10-23,2026-09-01,
Banco Falabella Perú,Banco,Banca movil,per.bf.desa,2.182715,21512,1.000.000+,4433862,Finanzas,Banco Falabella Perú,2.82.0,True,13 mar 2017,2026-08-27,2026-09-01,
Banco Pichincha Perú,Banco,Banca movil,pe.pichincha.bm,3.4564643,3892,500.000+,611194,Finanzas,Banco Pichincha,2.10.9,True,2 jul 2020,2026-08-13,2026-09-01,
Banco Ripley Perú,Banco,Banca movil,com.ripley.banco.peru,3.5368361,17782,1.000.000+,2470509,Finanzas,Banco Ripley Perú,6.37.1,True,18 sept 2018,2026-07-18,2026-09-01,
BBVA Perú,Banco,Banca movil,com.bbva.nxt_peru,4.2407937,537536,10.000.000+,15258709,Finanzas,BBVA,26.70.10,True,23 oct 2012,2026-07-16,2026-09-01,
BIM,PDP S.A.,Billetera celular,com.pdp.bim,3.2074418,10900,1.000.000+,4850429,Finanzas,Pagos Digitales Peruanos S.A.,3.1.49,True,14 feb 2018,2026-06-11,2026-09-01,
BIpay,Bitel,Billetera digital,com.bitel.bipay,2.5612383,7444,1.000.000+,3002021,Finanzas,Bitel,1.3.80,True,31 jul 2023,2026-08-28,2026-09-01,
Bonus,Retail (Loyalty Perú),Prepago,com.bonus.bonus,1.8434782,1153,100.000+,376578,Productividad,Loyalty Perú,2.0.9,True,8 ago 2024,2026-05-25,2026-09-01,
Caja Arequipa,Caja Municipal,Consulta de saldos y pagos,com.cmac.cajamovilaqp,4.8440332,27492,1.000.000+,1508214,Finanzas,Caja Arequipa,4.53.1,True,4 nov 2016,2026-08-27,2026-09-01,
Caja Cusco - Wayki App,Caja Municipal,Consulta de saldos y pagos,com.pe.cajacusco.movil,3.0947368,1922,1.000.000+,1020934,Finanzas,CAJA CUSCO S.A,2.9.2,True,27 dic 2019,2026-07-21,2026-09-01,
Caja Huancayo App,Caja Municipal,Consulta de saldos y pagos,com.cajahuancayo.cajahuancayo.appcajahuancayo,2.9946702,15161,1.000.000+,1711834,Finanzas,Caja Huancayo,2.0.4,True,1 ago 2018,2026-08-27,2026-09-01,
Caja Ica App,Caja Municipal,Consulta de saldos y pagos,com.cmacica.prd,3.12,779,100.000+,239636,Finanzas,Caja Municipal Ica,3.26,True,18 jul 2020,2026-08-24,2026-09-01,
Caja Piura App,Caja Municipal,Consulta de saldos y pagos,pe.cajapiura.bancamovil,3.8761384,5511,1.000.000+,1167102,Finanzas,Caja Piura,1.16.0.8,True,31 dic 2019,2026-08-24,2026-09-01,
Caja Tacna App,Caja Municipal,Consulta de saldos y pagos,com.cajatacna.droid,3.4950495,201,50.000+,71027,Finanzas,CMAC TACNA S.A.,1.8.15,True,5 jul 2017,2026-06-17,2026-09-01,
Caja Trujillo,Caja Municipal,Consulta de saldos y pagos,com.appcajatrujillo,2.3100774,1304,500.000+,506622,Finanzas,Developer Caja Trujillo,1.11.25,True,19 nov 2019,2026-08-04,2026-09-01,
Banco Compartamos,Banco,Consulta de saldos y pagos,pe.com.compartamos.bancamovil,3.3359375,2721,1.000.000+,1673071,Finanzas,Compartamos Banco,3.1.76,True,18 abr 2018,2026-07-20,2026-09-01,
Coopac Abaco,Cooperativa,Consulta de saldos y pagos,com.abaco.movil,4.5,53,5.000+,7777,Finanzas,Cooperativa de Ahorro y Crédito Abaco,1.6.1,True,25 nov 2017,2026-03-28,2026-09-01,
